title,author,downloads
Novo dicionário da língua portuguesa (Portuguese),Cândido de Figueiredo,10076
Southern Horrors,Ida B. Wells-Barnett,10040
Winnie-the-Pooh,A. A. Milne,10009
The Diary of Samuel Pepys — Complete,Samuel Pepys,9982
Project Gutenberg Compilation of Short Stories by Chekhov,Anton Pavlovich Chekhov,9962
The Philippines a Century Hence,José Rizal,9921
Songs of Innocence and of Experience,William Blake,9884
Noli Me Tangere (Tagalog),José Rizal,9867
"Poems by Emily Dickinson, Three Series, Complete",Emily Dickinson,9867
Pygmalion,Bernard Shaw,9851
Les misérables Tome I,Victor Hugo,9827
Roget's Thesaurus of English Words and Phrases,Peter Mark Roget,9824
The Art of War,active 6th century B.C. Sunzi,9805
The Secret Garden,Frances Hodgson Burnett,9804
The Book of Nonsense,Edward Lear,9737
Uncle Tom's Cabin,Harriet Beecher Stowe,9731
The Jewish State,Theodor Herzl,9716
The History of the British Post Office,Joseph Clarence Hemmeon,9710
Hard Times,Charles Dickens,9591
The Waterloo Roll Call,Charles Dalton,9559
Der Struwwelpeter (German),Heinrich Hoffmann,9550
Leaves of Grass,Walt Whitman,9535
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,René Descartes,9440
Susan B. Anthony,Alma Lutz,9415
The Prince and the Pauper,Mark Twain,9357
"The Rámáyan of Válmíki, translated into English verse",Valmiki,9295
Riders to the Sea,J. M. Synge,9280
The Ten Books on Architecture,Vitruvius Pollio,9280
A short history of the printing press and of the improvements in printing machinery from the time of Gutenberg up to the present day,Robert Hoe,9277
The Gift of the Magi,O. Henry,9262
Josefine Mutzenbacher (German),Felix Salten,9186
The Poetics of Aristotle,Aristotle,9162
Tractatus Logico-Philosophicus (German),Ludwig Wittgenstein,9095
Persuasion,Jane Austen,9051
New Latin Grammar,Charles E. Bennett,9044
"Bacon's Essays, and Wisdom of the Ancients",Francis Bacon,9017
"Eve's Diary, Complete",Mark Twain,9009
Life on the Mississippi,Mark Twain,8981
Gorgias,Plato,8950
"The Rape of the Lock, and Other Poems",Alexander Pope,8938
"The Natural History of Pliny, Volume 1 (of 6)",the Elder Pliny,8909
Shakespeare's family,C. C. Stopes,8897
Around the World in Eighty Days,Jules Verne,8839
Myths of the Cherokee,James Mooney,8814
A Journey to the Centre of the Earth,Jules Verne,8751
Plays,Susan Glaspell,8733
Ballads of a Cheechako,Robert W. Service,8728
The Federalist Papers,"Alexander Hamilton, James Madison, and John Jay",8717
A Complete Guide to Heraldry,Arthur Charles Fox-Davies,8714
The Red Record,Ida B. Wells-Barnett,8705
"Golden Days for Boys and Girls, Vol. XII, Jan. 3, 1891",Various,8701
The Invisible Man,H. G. Wells,8589
The Lady of the Lake,Walter Scott,8563
The Communist Manifesto,Karl Marx and Friedrich Engels,8453
A Complete Dictionary of Synonyms and Antonyms,Samuel Fallows,8449
