title,author,downloads
Histoire d'Attila et de ses successeurs (1/2) (French),Amédée Thierry,1792
Haviland's Chum,Bertram Mitford,1791
The Triads of Ireland,Unknown,1791
"The Boy Mechanic, Book 2",Unknown,1790
"Buddhist birth stories; or, Jataka tales, Volume 1",Unknown,1790
Artistic embroidery ,Ella Rodman Church,1790
The Discovery of Guiana,Walter Raleigh,1790
Bahaism and Its Claims,Samuel Graham Wilson,1789
"Spenser's Faerie Queene, Vol. 1 (of 2) ",Edmund Spenser,1788
The Clicking of Cuthbert,P. G. Wodehouse,1788
"Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period",P. L. Jacob,1788
"Summa Theologica, Part II-II (Secunda Secundae)",Saint Aquinas Thomas,1788
Home Geography for Primary Grades,C. C. Long,1787
Der Marquis de Sade und seine Zeit. (German),Iwan Bloch,1786
平妖傳 (Chinese),Guanzhong Luo and Menglong Feng,1786
"Histoire de Marie-Antoinette, Volume 2 (of 2) (French)",Maxime de La Rocheterie,1786
Æschylos Tragedies and Fragments,Aeschylus,1785
Tales of Space and Time,H. G. Wells,1785
Index of the Project Gutenberg Works of Lucius Annaeus Seneca,Lucius Annaeus Seneca,1784
Tableau historique et pittoresque de Paris depuis les Gaulois jusqu'à  nos jours (Volume 8/8) (French),J. B. de Saint-Victor,1784
A History of Sarawak under Its Two White Rajahs 1839-1908,S. Baring-Gould and C. A. Bampfylde,1784
"U.S. Marine Operations in Korea, 1950-1953, Volume 2 (of 5)","United States. Marine Corps, Lynn Montross, and Nicholas A. Canzona",1783
"The Life of Bret Harte, with Some Account of the California Pioneers",Henry Childs Merwin,1783
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 7. kötet (Hungarian),Oszkár Mailand,1783
"Encyclopaedia Britannica, 11th Edition, ""Kelly, Edward"" to ""Kite""",Various,1783
The Pied Piper of Hamelin,Robert Browning,1782
"The Magician's Own Book, or, the Whole Art of Conjuring",George Arnold and Frank Cahill,1780
The Maya Chronicles,Unknown,1780
The Negro in the United States; a selected bibliography. Compiled by Dorothy B. Porter,Dorothy Porter Wesley,1780
"Poems by Currer, Ellis, and Acton Bell","Anne Brontë, Emily Brontë, and Charlotte Brontë",1778
Fables de La Fontaine (French),Jean de La Fontaine,1778
Lady Susan,Jane Austen,1776
Lorna Doone,R. D. Blackmore,1776
The Evolution of Man,Ernst Haeckel,1776
Parzival,von Eschenbach Wolfram,1776
Fábulas (Spanish),Félix María Samaniego,1775
Five Children and It,E. Nesbit,1774
Chippinge Borough,Stanley John Weyman,1773
The Home Book of Verse — Volume 1,Burton Egbert Stevenson,1772
The Story of London,Henry B. Wheatley,1772
"Flora von Deutschland (German)",O. Schmeil and Jost Fitschen,1771
"Mount Everest, the Reconnaissance, 1921","Charles Howard-Bury, George Mallory, and A. F. R. Wollaston",1771
今古奇觀 (Chinese),Baowenglaoren,1771
A pair of blue eyes,Thomas Hardy,1770
Custom and Myth,Andrew Lang,1770
Smithsonian Institution - United States National Museum - Bulletin 240,Museum of History and Technology,1770
Twentieth Century Standard Puzzle Book,Unknown,1769
The massacre of St. Bartholomew ,Henry White,1769
Bildergeschichten (German),Wilhelm Busch,1769
"Church History, Volume 1 (of 3)",J. H. Kurtz,1769
Letters on England,Voltaire,1768
"The Letters of Charles Dickens. Vol. 2, 1857-1870",Charles Dickens,1768
"Notes on the Floridian Peninsula; Its Literary History, Indian Tribes and Antiquities",Daniel G. Brinton,1767
A Selection from the Works of Frederick Locker,Frederick Locker-Lampson,1766
Monday or Tuesday,Virginia Woolf,1765
Dramatic Technique,George Pierce Baker,1765
The Practice of the Presence of God,Brother of the Resurrection Lawrence,1765
Index of the Project Gutenberg Works of Arthur Schopenhauer,Arthur Schopenhauer,1765
The Discoveries of America to the Year 1525,Arthur James Weise,1764
Folk-Tales of the Khasis,Mrs. Rafy,1764
Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 7 - (P) (French),Eugène-Emmanuel Viollet-le-Duc,1764
Index of the Project Gutenberg Works of the Brothers Grimm,Jacob Grimm and Wilhelm Grimm,1763
The Light of Asia,Sir Edwin Arnold,1763
"Niccolò Machiavelli e i suoi tempi, vol. II (Italian)",Pasquale Villari,1762
Guernsey Folk Lore,Sir Edgar MacCulloch,1762
"Criminal Man, According to the Classification of Cesare Lombroso",Gina Lombroso,1762
"Journeys and Experiences in Argentina, Paraguay, and Chile",Henry Stephens,1762
From Dan to Beersheba,John Philip Newman,1761
"Encyclopaedia Britannica, 11th Edition, ""Gloss"" to ""Gordon, Charles George""",Various,1761
Proofs of a Conspiracy against all the Religions and Governments of Europe,John Robison,1761
"Abraham Lincoln, Volume II",Jr. John T. Morse,1760
Woman in Science,J. A. Zahm,1760
Major Barbara,Bernard Shaw,1759
The Theistic Conception of the World,B. F. Cocker,1758
The Book of the Thousand Nights and a Night — Volume 03 (of 10),Unknown,1758
"Golden Days for Boys and Girls, Volume XIII, No. 51",Various,1758
My Reminiscences,Rabindranath Tagore,1758
The Boy Electrician,Alfred Powell Morgan,1756
Studying the short-story,Unknown,1756
History of the Fylde of Lancashire,John Porter,1756
The Big Four,Agatha Christie,1755
The Birds,Aristophanes,1755
On the mountain ,Lucy Ellen Guernsey,1754
Kamerplanten,Max Hesdörffer,1754
"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories",Oscar Wilde,1754
Mussolini as revealed in his political speeches (November 1914-August 1923),Benito Mussolini,1754
Sharps and Flats,John Nevil Maskelyne,1754
The Diary and Letters of Madame D'Arblay — Volume 1,Fanny Burney,1753
The Sayings of Confucius,Confucius,1753
The Pirates' Who's Who,Philip Gosse,1753
The history of steam navigation,John Kennedy,1753
Tom Brown's School Days,Thomas Hughes,1752
"Histoire de Marie-Antoinette, Volume 1 (of 2) (French)",Maxime de La Rocheterie,1752
Hoyle's Games Modernized,Professor Hoffmann and Edmond Hoyle,1752
"A guide book of art, architecture, and historic interests in Pennsylvania",Unknown,1751
Les origines de la Renaissance en Italie (French),Emile Gebhart,1749
A Social History of the American Negro,Benjamin Griffith Brawley,1749
A Description of the Coasts of East Africa and Malabar in the Beginning of the Sixteenth Century,Unknown,1749
Histoire littéraire d'Italie (3/9) (French),Pierre Louis Ginguené,1748
"Armenia, Travels and Studies (Volume 1 of 2)",H. F. B. Lynch,1746
"Farthest North, Vol. I",Fridtjof Nansen,1746
"The Hungry Stones, and Other Stories",Rabindranath Tagore,1746
The Doctor ,Ralph Connor,1746
"The Works of Guy de Maupassant, Vol. 1",Guy de Maupassant,1746
"The Door in the Wall, and Other Stories",H. G. Wells,1746
Jack and Jill,Louisa May Alcott,1746
Ann Veronica,H. G. Wells,1745
"Anthony Trollope; His Work, Associates and Literary Originals",T. H. S. Escott,1745
The golden pool ,R. Austin Freeman,1745
The Adventurous Simplicissimus,Hans Jakob Christoph von Grimmelshausen,1745
"Encyclopaedia Britannica, 11th Edition, ""Greek Law"" to ""Ground-Squirrel""",Various,1744
The Story-book of Science,Jean-Henri Fabre,1743
A journey through the Yemen and some general remarks upon that country,Walter Harris,1743
The New Gresham Encyclopedia. Deposition to Eberswalde,Various,1743
Darwinism (1889),Alfred Russel Wallace,1743
"How music grew, from prehistoric times to the present day",Ethel R. Peyser and Marion Bauer,1742
"The Convent School; Or, Early Experiences of a Young Flagellant",Rosa Belinda Coote,1742
"Old Virginia and Her Neighbours, Vol. 2 (of 2)",John Fiske,1742
Prisoners of War in Britain 1756 to 1815,Francis Abell,1742
The Condition of the Working-Class in England in 1844,Friedrich Engels,1742
The Sir Roger de Coverley Papers,"Sir Richard Steele, Joseph Addison, and Eustace Budgell",1742
The Spell of Switzerland,Nathan Haskell Dole,1741
The Romance of Plant Life,G. F. Scott Elliot,1741
"Salve Venetia, gleanings from Venetian history; vol. II",F. Marion Crawford,1740
An Advanced English Grammar with Exercises,George Lyman Kittredge and Frank Edgar Farley,1739
論衡 (Chinese),Chong Wang,1739
"Nooks and Corners of English Life, Past and Present",John Timbs,1739
Celtic Folk and Fairy Tales,Unknown,1738
"The German Classics from the Fourth to the Nineteenth Century, Vol. 1 (of 2) (German)",F. Max Müller,1738
"Chaucer's Works, Volume 5 — Notes to the Canterbury Tales",Geoffrey Chaucer,1737
The Faith of Islam,Edward Sell,1737
Sibylla ,C. A. Mace,1736
"Travels Through North and South Carolina, Georgia, East and West Florida, the Cherokee Country, the Extensive Territories of the Muscogulges, or Creek Confederacy, and the Country of the Chactaws.",William Bartram,1736
"Storia degli Italiani, vol. 01 (di 15) (Italian)",Cesare Cantù,1736
The Boys' and Girls' Pliny,the Elder Pliny,1735
The Art & Practice of Typography,Edmund G. Gress,1734
The New Gresham Encyclopedia. Atrebates to Bedlis,Various,1733
The Strife of the Roses and Days of the Tudors in the West,W. H. Hamilton Rogers,1733
Outlines of Mahayana Buddhism,Daisetz Teitaro Suzuki,1733
A History of the Inquisition of the Middle Ages; volume II,Henry Charles Lea,1733
A Short History of Christianity,J. M. Robertson,1732
The Tank Corps,Clough Williams-Ellis and Amabel Williams-Ellis,1732
What Every Girl Should Know,Margaret Sanger,1731
Curious Creatures in Zoology,John Ashton,1731
The Regimental Records of the British Army,John Stephen Farmer and John S. Farmer,1731
Two Years Before the Mast,Richard Henry Dana,1730
In the year 2889,Jules Verne and Michel Verne,1730
"The Strange Adventures of Andrew Battell, of Leigh, in Angola and the Adjoining Regions",Andrew Battell,1729
An Essay on Criticism,Alexander Pope,1728
Martin Van Buren,Edward Morse Shepard,1728
Lancashire Folk-lore,John Harland and Thomas Turner Wilkinson,1727
Tales From Jókai,Mór Jókai,1725
The Strangest Things in the World,Thomas R. Henry,1725
International Law,George Grafton Wilson and George Fox Tucker,1725
The crowd ,Gustave Le Bon,1724
"Tea-Cup Reading and Fortune-Telling by Tea Leaves, by a Highland Seer",Unknown,1723
官場現形記 (Chinese),Boyuan Li,1723
"Encyclopaedia Britannica, 11th Edition, ""Groups, Theory of"" to ""Gwyniad""",Various,1723
Poems,T. S. Eliot,1722
In the forbidden land ,Arnold Henry Savage Landor,1722
The Yoga Sutras of Patanjali,Patañjali,1722
"Letters from a Farmer in Pennsylvania, to the Inhabitants of the British Colonies",John Dickinson,1720
Don Juan Tenorio (Spanish),José Zorrilla,1720
Fungi,M. C. Cooke,1720
The Story of Siena and San Gimignano,Edmund G. Gardner,1720
"The Reign of William Rufus and the Accession of Henry the First, Volume 2 (of 2)",Edward A. Freeman,1719
The Logic of Hegel,Georg Wilhelm Friedrich Hegel,1719
One Hundred Merrie And Delightsome Stories,Unknown,1718
"History of Greece, Volume 01 (of 12)",George Grote,1718
In Morocco,Edith Wharton,1718
Tolstoy on Shakespeare,graf Leo Tolstoy,1718
"Slang and its analogues past and present, volume 3 (of 7) ",William Ernest Henley and John Stephen Farmer,1717
"夢溪筆談, Volume 01-26 (Chinese)",Kuo Shen,1716
"The Ancient Volcanoes of Great Britain, Volume 2 (of 2)",Archibald Geikie,1716
Keukenboek (Dutch),Henriette Davidis,1715
The 1992 CIA World Factbook,United States. Central Intelligence Agency,1714
How to analyze people on sight through the science of human analysis ,Elsie Lincoln Benedict and Ralph Paine Benedict,1714
The Story of Eclipses,George F. Chambers,1714
Lady Jane Grey and Her Times,Ida A. Taylor,1713
"History for ready reference, Volumes 1 to 5",J. N. Larned,1713
Walden,Henry David Thoreau,1713
Moral Theology,Charles J. Callan and John A. McHugh,1712
The New Gresham Encyclopedia. Estremoz to Felspar,Various,1712
The story of the Congo Free State ,Henry Wellington Wack,1711
A Child's History of England,Charles Dickens,1711
"Babylonian and Assyrian Laws, Contracts and Letters",C. H. W. Johns,1711
"The Heptameron of Margaret, Queen of Navarre",King of Navarre consort of Henry II Queen Marguerite,1710
Charlotte Brontë and Her Circle,Clement King Shorter,1710
The Hunting of the Snark,Lewis Carroll,1709
"Variétés Historiques et Littéraires (04/10) (French)",Unknown,1709
The Blue Bird,Maurice Maeterlinck,1709
"Niebuhr's lectures on Roman history, Vol. 2 (of 3)",Barthold Georg Niebuhr,1709
Fools and mules ,Ray Humphreys,1708
"The Grenadier Guards in the Great War of 1914-1918, Vol. 3 of 3",Frederick Ponsonby,1708
A Honeymoon in Space,George Chetwynd Griffith,1707
"The Life and Amours of the Beautiful, Gay and Dashing Kate Percival",Kate Percival,1707
"The best short stories of 1917, and the yearbook of the American short story",Unknown,1706
The Mediaeval Mind (Volume 2 of 2),Henry Osborn Taylor,1705
The Complete Works of Josh Billings,Josh Billings,1705
"The English and Scottish popular ballads, volume 1 (of 5)",Unknown,1704
A century of children's books,Florence V. Barry,1703
"Queen Zixi of Ix; Or, the Story of the Magic Cloak",L. Frank Baum,1702
Shadows in the Moonlight,Robert E. Howard,1702
El Hombre Mediocre,José Ingenieros,1701
"Character Sketches of Romance, Fiction, and the Drama, Vol. 4",Ebenezer Cobham Brewer,1701
"Storia delle repubbliche italiane dei secoli di mezzo, v. 10 (of 16) (Italian)",J.-C.-L. Simonde de Sismondi,1701
"The Fair Maid of Perth; Or, St. Valentine's Day",Walter Scott,1700
De Wedergeboorte van Nederland (Dutch),B. D. H. Tellegen,1700
A Set of Six,Joseph Conrad,1700
"The Fable of the Bees; Or, Private Vices, Public Benefits",Bernard Mandeville,1699
The Writings of Thomas Paine — Volume 1 (1774-1779),Thomas Paine,1699
Phaedra,Jean Racine,1698
"History of the Reformation in Europe in the Time of Calvin, Vol. 5 (of 8)",J. H. Merle d'Aubigné,1698
Wagner as Man & Artist,Ernest Newman,1698
"Biographical Anecdotes of William Hogarth, With a Catalogue of His Works",John Nichols,1698
"Historical records of the Buffs, East Kent Regiment (3rd Foot) ",R. S. H. Moody,1697
The inter ocean curiosity shop for the year 1883,Various,1697
The Virginians,William Makepeace Thackeray,1696
The Child in Human Progress,George Henry Payne,1696
Aristotle's History of Animals,Aristotle,1695
Ghost Stories of an Antiquary,M. R. James,1695
A Diplomat in Japan,Ernest Mason Satow,1694
Laurence Sterne in Germany,Harvey W. Hewett-Thayer,1694
My Experiences in Manipur and the Naga Hills,Sir James Johnstone,1693
"Journal du corsaire Jean Doublet de Honfleur, lieutenant de frégate sous Louis XIV (French)",Jean Doublet,1693
Give Me Liberty or Give Me Death,Patrick Henry,1692
Footsteps of Dr. Johnson (Scotland),George Birkbeck Norman Hill,1692
Genesis (Hebrew),Unknown,1692
"Gobolinks; or, Shadow Pictures for Young and Old",Albert Bigelow Paine and Ruth McEnery Stuart,1692
Ethnological results of the Point Barrow expedition,John Murdoch,1691
"Beer, its history and its economic value as a national beverage",F. W. Salem,1691
Stavrogin's Confession and The Plan of The Life of a Great Sinner,Fyodor Dostoyevsky,1691
Vingt mille Lieues Sous Les Mers — Complete (French),Jules Verne,1690
1914,Earl of Ypres John Denton Pinkstone French,1690
"The best short stories of 1922, and the yearbook of the American short story",Unknown,1690
"Donatello, by Lord Balcarres",Earl of David Lindsay Crawford,1689
Das Stunden-Buch (German),Rainer Maria Rilke,1688
"Anzeiger des Germanischen Nationalmuseums, Jahrgang 1901 (German)",Various,1688
"Don Quixote, Volume 1",Miguel de Cervantes Saavedra,1688
Index of the Project Gutenberg Works of Leon Tolstoy,graf Leo Tolstoy,1688
"The Chronicles of Newgate, vol. 1/2",Arthur Griffiths,1688
"Émile Zola, Novelist and Reformer",Ernest Alfred Vizetelly,1687
Discovery of Witches,active 1612-1618 Thomas Potts,1687
The early English cotton industry,George W. Daniels,1686
"Narrative and Critical History of America, Vol. 6 (of 8)",Unknown,1686
Lives of the Engineers,Samuel Smiles,1686
The Children of Odin,Padraic Colum,1686
History as past ethics; an introduction to the history of morals,P. V. N. Myers,1685
"A history of criticism and literary taste in Europe from the earliest texts to the present day. Volume 2 (of 3), From the Renaissance to the decline of eighteenth century orthodoxy",George Saintsbury,1685
Strictly Business,O. Henry,1685
Victorian Short Stories,Unknown,1685
"Ukraine, the land and its people ",Stepan Rudnytskyi,1685
The Classic Myths in English Literature and in Art (2nd ed.) (1911),Thomas Bulfinch and Charles Mills Gayley,1685
Critical and Historical Essays — Volume 1,Baron Thomas Babington Macaulay Macaulay,1685
Der Graf von Saint-Germain,Gustav Berthold Volz,1684
Business English,Rose Buhlig,1684
"In Stahlgewittern, aus dem Tagebuch eines Stoßtruppführers (German)",Ernst Jünger,1684
Oliver Cromwell and the Rule of the Puritans in England,C. H. Firth,1684
肉蒲團 (Chinese),Yu Li,1683
Memorials of Old London. Volume 1 (of 2),Unknown,1683
Indian Fairy Tales,Unknown,1683
Stories from the Pentamerone,Giambattista Basile,1683
The Hand of Ethelberta,Thomas Hardy,1683
La Sorcière,Jules Michelet,1683
"Storia della decadenza e rovina dell'impero romano, volume 05 (Italian)",Edward Gibbon,1682
Napoleon (Dutch),Herman Théodore Chappuis,1682
The Sex Side of Life,Mary Ware Dennett,1682
蕩寇志 (Chinese),Wanchun Yu,1681
Poems 1817,John Keats,1681
"Studies in the Psychology of Sex, Volume 5",Havelock Ellis,1680
The gardener,Rabindranath Tagore,1680
Japan,Unknown,1679
Studies on Fermentation,Louis Pasteur,1679
"A History of Matrimonial Institutions, Vol. 3 of 3",George Elliott Howard,1679
"The History of England, from the Accession of James II — Volume 1",Baron Thomas Babington Macaulay Macaulay,1677
Supplemental Nights to the Book of the Thousand and One Nights — Volume 2 (of 6),Unknown,1677
"Gargantua and Pantagruel, Illustrated, Book 1",François Rabelais,1677
"Wives of the Prime Ministers, 1844-1906",Elizabeth Lee and Lucy Masterman,1677
The Phase Rule and Its Applications,Alexander Findlay,1677
"The art of music, Vol. 04 (of 14) ",Unknown,1676
A Book About Doctors,John Cordy Jeaffreson,1676
The Cradle of Mankind; Life in Eastern Kurdistan,W. A. Wigram and Edgar Thomas Ainger Wigram,1676
The House of Souls,Arthur Machen,1675
Mr. Punch's Golf Stories,Unknown,1675
Fine Books,Alfred W. Pollard,1675
雪月梅傳 (Chinese),active 18th century Lang Chen,1674
Barchester Towers,Anthony Trollope,1674
A Complete History of Music,W. J. Baltzell,1674
"Giovanni Boccaccio, a Biographical Study",Edward Hutton,1674
The Initiates of the Flame,Manly P. Hall,1673
"The Voyages of Pedro Fernandez de Quiros, 1595 to 1606. Volume 1",Pedro Fernandes de Queirós,1673
"The Living Animals of the World, Volume 1 (of 2)",Unknown,1673
"Scientific  American, Volume XXIV., No. 12,  March 18, 1871",Various,1672
The Shame of the Cities,Lincoln Steffens,1672
"Commentary on Genesis, Vol. 1",Martin Luther,1672
"The Ship of Fools, Volume 1",Sebastian Brant,1671
Le roman de la rose - Tome I (French),de Lorris Guillaume and de Meun Jean,1670
A Week's Tramp in Dickens-Land,William R. Hughes,1670
Wild Animals I Have Known,Ernest Thompson Seton,1670
The Sexual Life of Our Time in Its Relations to Modern Civilization,Iwan Bloch,1669
St. Paul's Epistle to the Romans,Charles Gore,1669
"Modern Painters, Volume 4 (of 5)",John Ruskin,1669
A Greek-English Lexicon to the New Testament (Modern Greek (1453-)),William Greenfield,1668
"Montgomery, the Capital City of Alabama",Ala. Montgomery Montgomery Real Estate Agents' Association,1668
The Government of England (Vol. I),A. Lawrence Lowell,1667
The Augsburg Confession,Philipp Melanchthon,1667
"Kipling Stories and Poems Every Child Should Know, Book II",Rudyard Kipling,1667
The inequality of human races,comte de Arthur Gobineau,1667
"The Stars and Stripes, Vol. 1, No. 1, February 8, 1918",United States. Army. American Expeditionary Forces,1666
The Great American Fraud,Samuel Hopkins Adams,1666
"Encyclopaedia Britannica, 11th Edition, ""Gordon, Lord George"" to ""Grasses""",Various,1666
"Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, (3/6) (French)",C. A. Walckenaer,1666
Mr. Punch's History of the Great War,Charles L. Graves,1665
"The History of England in Three Volumes, Vol.II.",T. Smollett,1665
Rambles and Recollections of an Indian Official,Sir W. H. Sleeman,1664
Le Morte Darthur,Sir Thomas Malory,1664
Essais de Montaigne (self-édition) - Volume I (French),Michel de Montaigne,1664
Correspondence and Report from His Majesty's Consul at Boma Respecting the Administration of the Independent State of the Congo [and Further Correspondence],Roger Casement,1664
The Whitehouse Cookbook (1887),F. L. Gillette and Hugo Ziemann,1664
The game of life and how to play it,Florence Scovel Shinn,1663
"Encyclopaedia Britannica, 11th Edition, ""Celtes, Konrad"" to ""Ceramics""",Various,1663
"Coningsby; Or, The New Generation",Earl of Beaconsfield Benjamin Disraeli,1663
Women in Love,D. H. Lawrence,1663
"The Schoolmistress, and Other Stories",Anton Pavlovich Chekhov,1661
Bahnwärter Thiel (German),Gerhart Hauptmann,1661
The Oxford Book of Latin Verse (Latin),Unknown,1661
Beyond Lies the Wub,Philip K. Dick,1661
"The Bible, King James Version, Complete",Unknown,1661
Time and Free Will,Henri Bergson,1660
"Journal de Jean Héroard - Tome 1 (French)",Jean Héroard,1660
"History of the Great American Fortunes, Vol. I",Gustavus Myers,1660
The Roman Festivals of the Period of the Republic,W. Warde Fowler,1660
Our Humble Helpers,Jean-Henri Fabre,1659
"The history of England, from the accession of George III. to the close of Pitt's first administration, 1760-1801",William Hunt,1658
"The Amores; or, Amours",Ovid,1658
The Life and Work of Susan B. Anthony (Volume 1 of 2),Ida Husted Harper,1658
Indoor and Outdoor Recreations for Girls,Lina Beard and Adelia B. Beard,1657
The Rogerenes,John R. Bolles and Anna B. Williams,1656
"Town Life in the Fifteenth Century, Volume 2 (of 2)",Alice Stopford Green,1656
Tales from the Fjeld,Peter Christen Asbjørnsen,1656
"Uncle Remus, his songs and his sayings",Joel Chandler Harris,1655
Unknown to History,Charlotte M. Yonge,1655
Kant's gesammelte Schriften. Band V. Kritik der Urtheilskraft. (German),Immanuel Kant,1655
Short stories from Life,Unknown,1653
"On the magnet, magnetick bodies also, and on the great magnet the earth",Unknown,1653
"Lives of the Most Eminent Painters, Sculptors and Architects, Vol. 09 (of 10)",Giorgio Vasari,1653
五色石 (Chinese),ju ren 1738 Wuseshizhuren,1652
The Normans in European history,Charles Homer Haskins,1652
An Investigation of the Laws of Thought,George Boole,1651
"The Posthumous Works of Thomas De Quincey,  Vol. 1",Thomas De Quincey,1650
Memoir of Jane Austen,James Edward Austen-Leigh,1649
"The History of Antiquity, Vol. 1 (of 6)",Max Duncker,1649
"The inventions, researches and writings of Nikola Tesla",Thomas Commerford Martin,1649
The Revolt of the Angels,Anatole France,1648
"Hans Holbein the Younger, Volume 1 (of 2)",Arthur B. Chamberlain,1648
Colour in the flower garden,Gertrude Jekyll,1648
Reisen in den Philippinen (German),Fedor Jagor,1648
Little Men,Louisa May Alcott,1647
The Closet of Sir Kenelm Digby Knight Opened,Kenelm Digby,1647
The Rosary,Florence L. Barclay,1647
Practical Mechanics for Boys,James Slough Zerbe,1647
The Spenders,Harry Leon Wilson,1646
Baudelaire,Charles Baudelaire,1645
The Imaginary Invalid,Molière,1645
Armageddon—2419 A.D.,Philip Francis Nowlan,1645
Off on a Comet! a Journey through Planetary Space,Jules Verne,1643
Undine,Freiherr de Friedrich Heinrich Karl La Motte-Fouqué,1643
"Renaissance in Italy, Volume 2 (of 7)",John Addington Symonds,1643
Human Animals,Frank Hamel,1643
"Missions au Sahara, tome 2 ",René Chudeau,1642
"Sindbad the Sailor, & Other Stories from the Arabian Nights",Anonymous,1642
"The International Monthly, Volume 3, No. 1, April, 1851",Various,1641
A History of the Growth of the Steam-Engine,Robert Henry Thurston,1641
Reptiles and Birds,Louis Figuier,1641
"Memoirs of the Reign of King George the Second, Volume 1 (of 3)",Horace Walpole,1640
"History of Atchison County, Kansas",Sheffield Ingalls,1640
Bantu Beliefs and Magic,C. W. Hobley,1640
"Studies in the History and Method of Science, vol. 1 (of 2)",Unknown,1639
"Letters Written During a Short Residence in Sweden, Norway, and Denmark",Mary Wollstonecraft,1639
The Evolution of Modern Capitalism,J. A. Hobson,1639
Notre-Dame de Paris (French),Victor Hugo,1639
"A Gothic Grammar, with selections for reading and a glossary",Wilhelm Braune,1638
Soap-Making Manual,Edgar George Thomssen,1638
"La vita in Palermo cento e più anni fa, Volume 2 (Italian)",Giuseppe Pitrè,1638
The Swiss Family Robinson; or Adventures in a Desert Island,Johann David Wyss,1637
Mathematical Recreations and Essays,W. W. Rouse Ball,1636
The Inimitable Jeeves,P. G. Wodehouse,1636
"The Native Races [of the Pacific states], Volume 1, Wild Tribes",Hubert Howe Bancroft,1636
Charles Sumner,Charles Sumner,1635
An Inquiry Into the Nature and Causes of the Wealth of Nations,Adam Smith and M. Garnier,1635
豔異編 (Chinese),Shizhen Wang,1634
Rambles in Normandy,M. F. Mansfield,1633
United States Presidents' Inaugural Speeches,United States. Presidents,1633
Translations of Shakuntala and Other Works,Kalidasa,1633
"The Parochial History of Cornwall, Volume 3 (of 4)",Unknown,1633
Las cien mejores poesías (lí­ricas) de la lengua castellana (Spanish),Unknown,1632
The History of the Nineteenth Century in Caricature,Frederic Taber Cooper and Arthur Bartlett Maurice,1632
Landscape with figures,Ronald Fraser,1632
The Two Great Retreats of History,George Grote and comte de Philippe-Paul Ségur,1631
The 1991 CIA World Factbook,United States. Central Intelligence Agency,1631
"The Wife, and Other Stories",Anton Pavlovich Chekhov,1631
"Shelters, Shacks and Shanties",Daniel Carter Beard,1631
North,James B. Hendryx,1630
"Beethoven's Letters 1790-1826, Volume 2",Ludwig van Beethoven,1629
"The epistle of Othea to Hector; or, The boke of knyghthode",de Pisan Christine,1629
The Works of Lord Byron. Vol. 2,Baron George Gordon Byron Byron,1629
Vie de Tolstoï (French),Romain Rolland,1629
Historic Sites of Lancashire and Cheshire,James Croston,1629
The Industrial Arts in Spain,Juan F. Riaño,1628
The quest of the historical Jesus ,Albert Schweitzer,1627
The Expositor's Bible,Alfred Plummer,1627
Wrestling and Wrestlers,Jacob Robinson and Sidney Gilpin,1627
An Outline of English Speech-craft,William Barnes,1626
The Nursery Rhyme Book,Unknown,1626
The Sacred Wood,T. S. Eliot,1625
The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,1624
Mathilda,Mary Wollstonecraft Shelley,1624
The Evolution of Naval Armament,Frederick Leslie Robertson,1624
The Campaign of Waterloo,John Codman Ropes,1624
The Maine Woods,Henry David Thoreau,1624
"Maximilian, Prince of Wied's, Travels in the Interior of North America, 1832-1834, part 2",Prinz von Maximilian Wied,1624
"Journal 02, 1850-September 15, 1851",Henry David Thoreau,1623
"The Native Races [of the Pacific states], Volume 2, Civilized Nations",Hubert Howe Bancroft,1622
Histoire de la Littérature Anglaise (Volume 2 de 5) (French),Hippolyte Taine,1622
Demonologia ,J. S. Forsyth,1622
Jewellery,H. Clifford Smith,1622
The best British short stories of 1922,Unknown,1622
The Seri Indians. (1898 N 17 / 1895-1896 (pages 1-344*)),W J McGee,1621
Two on a Tower,Thomas Hardy,1621
Der Tatbestand der Piraterie nach geltendem Völkerrecht (German),Paul Stiel,1621
The Yellowstone National Park,Hiram Martin Chittenden,1621
"Salve Venetia, gleanings from Venetian history; vol. I",F. Marion Crawford,1620
The Brighton Road,Charles G. Harper,1620
L'eresia nel Medio Evo (Italian),Felice Tocco,1619
Tales of a Traveller,Washington Irving,1617
"Encyclopaedia Britannica, 11th Edition, ""Haller, Albrecht"" to ""Harmonium""",Various,1617
"The Revolutionary Movement of 1848-9 in Italy, Austria-Hungary, and Germany",C. Edmund Maurice,1616
Der Fremde,Hans von Kahlenberg,1616
All in the Day's Work,Ida M. Tarbell,1616
Through East Anglia in a Motor Car,James Edmund Vincent,1615
La femme au dix-huitième siècle (French),Edmond de Goncourt and Jules de Goncourt,1615
The Light That Failed,Rudyard Kipling,1613
The Boston cooking-school cook book,Fannie Merritt Farmer,1613
Ojibwa myths and tales,Unknown,1612
Daemonologie.,King of England James I,1611
Benjamin Franklin ,Benjamin Franklin,1611
Chuang Tzu,Zhuangzi,1611
The Pirate,Walter Scott,1611
One Hundred Proofs That the Earth Is Not a Globe,William Carpenter,1611
